Timestamp,Node,Cl2,Temp,pH,TOC,Br
20-10-24 0:00,179001,2.52,19.56,7.05,12.99,3.64
20-10-24 0:00,179,3.5,14.81,7.43,13.3,4.2
20-10-24 0:00,177,0.2,15.7,7.44,1.79,2.87
20-10-24 0:00,174,2.36,22.08,8.12,5.02,3.95
20-10-24 0:00,173,3.88,10.66,6.67,3.78,2.68
20-10-24 0:00,171001,2.54,27.31,8.21,5.89,3.35
20-10-24 0:00,171,1.2,12.38,8.37,5.4,3.22
20-10-24 0:00,172,0.16,25.47,7.69,6.45,3.16
20-10-24 0:00,170,3.09,25.14,7.19,8.48,2.08
20-10-24 0:00,165,0.53,15.86,8.41,11.59,2.26
20-10-24 0:00,166,3.96,29.56,8.34,0.3,3.21
20-10-24 0:00,168,2.62,20.34,8.11,1.05,3.13
20-10-24 0:00,169,2.93,26.21,6.9,5.45,2.98
20-10-24 0:00,163,0.71,14.07,6.83,1.74,3.15
20-10-24 0:00,164,1.63,18.23,7.19,8.1,4.14
20-10-24 0:00,162,1.83,11.14,7.19,4.12,2.2
20-10-24 0:00,161,1.05,26.12,6.96,3.14,4.98
20-10-24 0:00,106,2.68,15.11,6.84,5.82,2.14
20-10-24 0:00,124,3.53,13.38,7.71,11.24,2.7
20-10-24 0:00,125,2.29,11.11,7.98,6.24,4.81
20-10-24 0:00,125001,1.01,10.59,6.9,0.5,2.67
20-10-24 0:00,126,1.33,12.45,7.26,1.97,2.56
20-10-24 0:00,127,1.97,29.93,7.54,12.43,4.82
20-10-24 0:00,128,2.13,11.35,8.2,5.21,2.48
20-10-24 0:00,129,0.65,26.86,8.04,10.61,3.73
20-10-24 0:00,130,3.37,15.68,7.38,11.86,4.01
20-10-24 0:00,132,3.59,29.63,8.12,6.48,3.64
20-10-24 0:00,131001,2.47,22.04,7.77,11.64,2.07
20-10-24 0:00,131,1.58,21.96,7,1.53,3.29
20-10-24 0:00,133,1.25,24.54,6.52,13.46,3.15
20-10-24 0:00,134,2.48,20.5,6.62,7.31,2.97
20-10-24 0:00,135,1.82,20.12,8.17,7.38,3.44
20-10-24 0:00,136,2.97,20.15,7.47,10.24,2.14
20-10-24 0:00,137,0.88,11.21,7.56,10.21,3.74
20-10-24 0:00,138,3.64,13.03,7.26,6.4,3.78
20-10-24 0:00,139,1.19,19.79,6.66,2.61,3.72
20-10-24 0:00,141,1.21,25.66,6.77,5.67,3.28
20-10-24 0:00,143,3.51,14.84,7.44,1.12,3.09
20-10-24 0:00,144,0.13,29.72,8.18,7.02,4.7
20-10-24 0:00,145,2.51,21.78,8.15,1.52,2.51
20-10-24 0:00,142,0.62,28.71,8.45,11.06,2.97
20-10-24 0:00,140001,2.38,10.38,6.76,3.61,4.84
20-10-24 0:00,151,0.94,12.57,7.91,12.87,4.37
20-10-24 0:00,152,1.06,29.56,6.52,4.62,3.05
20-10-24 0:00,107,3.27,24.27,6.7,0.72,2.22
20-10-24 0:00,108,2.32,22.62,7.26,9.24,4.44
20-10-24 0:00,109,3.63,15.1,7.5,1.89,3.34
20-10-24 0:00,110,3.18,26.22,7.24,4.14,3.64
20-10-24 0:00,111,2.26,22,7.23,3.94,4.28
20-10-24 0:00,113,3.41,21.89,7.15,4.65,4.05
20-10-24 0:00,114,3.41,12.96,6.92,0.65,4.72
20-10-24 0:00,112,1.68,19.45,7.09,5.86,2.64
20-10-24 0:00,115,2.56,15.25,7.48,4.74,3.68
20-10-24 0:00,116,1.26,15.69,6.83,6.6,3.83
20-10-24 0:00,117,0.34,11.86,7.55,9.21,3.81
20-10-24 0:00,118,3.85,21.39,8.25,10.04,4.4
20-10-24 0:00,119,2.31,14.18,6.76,1.08,2.46
20-10-24 0:00,105,1.9,11.38,7.56,3.99,4.43
20-10-24 0:00,102,2.4,22.74,8.34,3.71,3.45
20-10-24 0:00,103,1.89,17.61,8.14,4.83,4.12
20-10-24 0:00,104,3.83,17.64,8.36,8.42,2.13
20-10-24 0:00,100,1.12,18.98,7.37,9.52,3.94
20-10-24 0:00,101,2.04,13.94,7.34,3.01,3.72
20-10-24 0:00,96,1.74,19.88,7.97,13.16,4.76
20-10-24 0:00,97,0.59,21.25,8.42,10.38,4.32
20-10-24 0:00,98,2.28,19.48,8.44,7.55,3.91
20-10-24 0:00,99,0.74,21.64,6.51,7.68,4.16
20-10-24 0:00,93,0.49,13.61,7.01,7.36,4.76
20-10-24 0:00,94,3.68,11.57,7.57,11.77,3.88
20-10-24 0:00,95,1.87,26.66,6.83,7.25,4.56
20-10-24 0:00,92,0.14,23.75,8.28,10.78,4.49
20-10-24 0:00,160,2.03,22.5,7.01,3.87,3.78
20-10-24 0:00,159001,1.96,22.74,7.01,6.06,2.6
20-10-24 0:00,159,3.13,14.04,7.57,1.44,4.73
20-10-24 0:00,156,3.73,11.63,8.18,2.27,2.5
20-10-24 0:00,157,1.3,26.89,8.28,7.87,4.29
20-10-24 0:00,158,0.42,29.58,6.98,12.11,2.53
20-10-24 0:00,155,1.64,22.87,6.89,5.36,2.92
20-10-24 0:00,154,3.76,21.43,8.47,1.78,3.58
20-10-24 0:00,153,3.01,18.43,8.46,4.06,4.52
20-10-24 0:00,55,2.2,26.54,8.47,10.44,4.65
20-10-24 0:00,59,1.27,27.54,7.79,12.33,4.62
20-10-24 0:00,60,2.13,11.85,8.43,9.14,4.49
20-10-24 0:00,61,2.07,12.74,6.63,7.83,2.66
20-10-24 0:00,62,1.98,15.66,8.08,1.89,2.65
20-10-24 0:00,147,3.86,18.01,8.3,12.83,3.78
20-10-24 0:00,150,0.42,10.67,7.51,12.29,3.05
20-10-24 0:00,148,1.99,10.54,6.69,11.03,4.52
20-10-24 0:00,149,2.28,30,6.81,8.95,4.84
20-10-24 0:00,63,2.52,22.37,7.28,1.21,3.22
20-10-24 0:00,64,0.17,18.59,7.09,7.18,3.6
20-10-24 0:00,65,2.73,24.72,6.68,6.91,4.31
20-10-24 0:00,66,3.66,17.72,6.53,5.05,2.86
20-10-24 0:00,67,1.93,26.8,6.67,11.85,4.83
20-10-24 0:00,68,3.21,26.56,6.67,3.26,3.34
20-10-24 0:00,69,1.16,17.08,8.28,11.32,4.95
20-10-24 0:00,70,3.69,15.65,7.31,7.37,4.53
20-10-24 0:00,71,3.81,22.97,7.42,3.57,3.93
20-10-24 0:00,72,0.44,12.6,7.65,8.2,3.83
20-10-24 0:00,56,0.48,26.11,7.39,0.45,2.83
20-10-24 0:00,57,2.86,23.11,6.97,5.18,4.69
20-10-24 0:00,58,1.78,21.43,8.29,8.74,2.51
20-10-24 0:00,53,0.54,26.07,7.03,9.83,3.22
20-10-24 0:00,54,0.16,12.83,8.25,9.95,4.48
20-10-24 0:00,52,2.39,21.85,8.22,2.29,2.39
20-10-24 0:00,46001,3.15,21.08,7.4,6.9,3.12
20-10-24 0:00,50,1.03,19.05,7.02,9.67,2.14
20-10-24 0:00,51,1.52,20.43,6.72,7.37,4.62
20-10-24 0:00,47,1.99,26.69,8.37,6.55,4.38
20-10-24 0:00,48,2.29,25.52,8.38,1,3.25
20-10-24 0:00,49,3.06,29.74,6.59,1.8,2.2
20-10-24 0:00,42,1.9,21.79,8.07,11.67,4.93
20-10-24 0:00,45,1.49,10.01,7.24,1.86,2.53
20-10-24 0:00,46,1.93,17.16,6.69,2.91,3.17
20-10-24 0:00,41,0.39,19.92,8.2,6.97,4.44
20-10-24 0:00,35,1.77,13.35,7.9,4.44,4.99
20-10-24 0:00,36,3.43,16.18,7.94,3.65,2.79
20-10-24 0:00,39,3.46,21.4,7.7,8.39,2.94
20-10-24 0:00,40,1.67,20.02,6.62,1.88,2.97
20-10-24 0:00,37,1,13.78,7.29,4.58,2.22
20-10-24 0:00,91,2.37,20.98,7.59,7.48,2.19
20-10-24 0:00,90,1.88,16.09,6.89,13.2,3.24
20-10-24 0:00,89,3.67,16.12,7.62,13.46,2.88
20-10-24 0:00,31,1.04,15.32,6.57,1.04,4.37
20-10-24 0:00,32,0.6,28.36,6.95,3.66,4.2
20-10-24 0:00,34,1.35,29.02,7.98,12.5,4.03
20-10-24 0:00,33,0.74,26.84,6.82,7.09,4.54
20-10-24 0:00,28001,0.73,13.74,8.4,5.3,3.92
20-10-24 0:00,28,0.83,28.31,7.24,3.94,3.05
20-10-24 0:00,29,4,26.5,8.39,0.39,4.42
20-10-24 0:00,30,3.26,21.82,8.23,11.57,4.46
20-10-24 0:00,27,3.01,13.04,8.49,3.95,4.55
20-10-24 0:00,26,3.65,23.99,8.19,12.82,3
20-10-24 0:00,23,3.99,22.33,7.19,7.58,4.92
20-10-24 0:00,22,1.04,27.22,7.11,3.6,4.58
20-10-24 0:00,87,2.15,14.46,7.92,4.15,3.96
20-10-24 0:00,86,0.57,10.5,7.01,2.92,4.17
20-10-24 0:00,83,2.89,27.2,6.77,12.05,4.81
20-10-24 0:00,77,2.33,14.78,8.17,1.33,2.39
20-10-24 0:00,81,3.62,13.41,8.44,5.55,3.34
20-10-24 0:00,78,0.17,10.52,6.91,3.56,4.66
20-10-24 0:00,79,2.76,22.34,8.13,8.73,2.38
20-10-24 0:00,80,0.89,16.52,7.79,5.81,2.74
20-10-24 0:00,82,2.86,17.55,7.32,3.16,4.68
20-10-24 0:00,84,1.55,20.48,7.31,1.57,4.5
20-10-24 0:00,85,0.77,29.93,6.68,12.09,3.7
20-10-24 0:00,121,2.66,29.14,8.08,8.89,2.78
20-10-24 0:00,122,3.35,18.08,6.55,8.88,2.74
20-10-24 0:00,123,3.86,15.5,6.64,11.85,2.17
20-10-24 0:00,120,1.59,10.6,6.94,1.57,3.94
20-10-24 0:00,75,0.13,23.51,7.86,6.05,2.58
20-10-24 0:00,76,2.02,12.04,8.01,4.4,3.98
20-10-24 0:00,73,3.75,20.08,8.03,1.65,4.74
20-10-24 0:00,74,0.37,22.31,7.69,10.4,3.31
20-10-24 0:00,227,3.35,21.85,6.6,10.79,4.85
20-10-24 0:00,215001,2.82,20.39,6.79,5.87,2.67
